match,n,i,target
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,958,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,957,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,956,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,955,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,954,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,953,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,952,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,951,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,950,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,949,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,948,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,947,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,946,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,945,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,944,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,943,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,942,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,941,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,940,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,939,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,938,10,1
False,937,10,1
False,937,10,1
False,937,10,1
False,937,10,1
False,937,10,1
False,937,10,1
False,937,10,1
False,937,10,1
