Match,n,i
False,2473,100
True,2473,100
True,2473,100
False,2473,100
True,2473,100
False,2473,100
True,2473,100
True,2473,100
True,2473,100
True,2473,100
False,2473,100
True,2473,100
True,2473,100
True,2473,100
False,2473,100
False,2473,100
True,2473,100
True,2473,100
True,2473,100
True,2473,100
False,2473,100
False,2473,100
False,2473,100
True,2473,100
True,2473,100
True,2473,100
False,2473,100
True,2473,100
True,2473,100
True,2473,100
True,2473,100
True,2473,100
False,2473,100
True,2473,100
True,2473,100
True,2473,100
True,2473,100
False,2473,100
True,2473,100
True,2473,100
False,2473,100
True,2473,100
False,2473,100
True,2473,100
True,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
False,2472,100
True,2472,100
True,2472,100
True,2472,100
False,2472,100
False,2472,100
False,2472,100
False,2472,100
True,2472,100
False,2471,100
False,2471,100
True,2471,100
True,2471,100
False,2471,100
False,2471,100
False,2471,100
True,2471,100
True,2471,100
False,2471,100
True,2471,100
True,2471,100
False,2471,100
False,2471,100
True,2471,100
True,2471,100
True,2471,100
True,2471,100
False,2471,100
False,2471,100
True,2471,100
False,2471,100
True,2471,100
True,2471,100
True,2471,100
True,2471,100
True,2471,100
False,2471,100
False,2471,100
True,2471,100
True,2471,100
True,2471,100
True,2471,100
False,2471,100
False,2471,100
False,2471,100
False,2471,100
True,2471,100
False,2471,100
True,2471,100
False,2471,100
True,2471,100
False,2471,100
True,2471,100
True,2471,100
False,2471,100
False,2471,100
False,2471,100
True,2471,100
False,2471,100
False,2471,100
True,2471,100
False,2471,100
False,2471,100
